"gam" "nu"
0.04 0.92
0.21 0.25
0.21 0.79
0.18 0.01
0.21 0.55
0.57 0.82
0.45 0.07
0.83 0.97
0.07 0.71
0.96 0.64
0.78 0.43
0.45 0.41
0.04 0.44
0.96 0.21
0.49 0.42
0.6 0.57
0.35 0.68
0.74 0.33
0.9 0.08
0.33 0.83
0.26 0.21
0.51 0.87
0.63 0.43
0.37 0.61
0.8 0.99
0.35 0.97
0.84 0.7
0.2 0.41
0.11 0.35
0.25 0.96
0.6 0.89
0.45 0.14
0.01 0.38
0.79 0.36
0.77 0.09
0.25 0.15
0.79 0.35
0.31 0.23
0.4 0.21
0.38 0.73
0.35 0.02
0.42 0.09
0.83 0.62
0.78 0.83
0.77 0.78
0.78 0.92
0.98 0.14
0.53 0.52
0.77 0.26
0.82 0.65
0.44 0.52
0.27 0.45
0.53 0.17
0.85 0.91
0.29 0.37
0.86 0.32
0.97 0.98
0.05 0.84
0.48 0.06
0.76 0.47
0.22 0.43
0.17 0.71
0.84 0.79
0.13 0.14
0.12 0.37
0.08 0.12
0.57 0.42
0.24 0.91
0.7 0.3
0.45 0.79
0.13 0.98
0.23 0.3
0.77 0.17
0.91 0.92
0.95 0.62
0.92 0.02
0.96 0.2
0.55 0.48
0.88 0.32
0.22 0.53
0.61 0.82
0.13 0.15
0.61 0.75
0.05 0.61
0.7 0.41
0.02 0.54
0.15 0.97
0.72 0.06
0.98 0.26
0.57 0.65
0.21 0.78
0.91 0.12
0.58 0.45
0.98 0.22
0.16 0.36
0.24 0.37
0.22 0.62
0.49 0.18
0.67 0.28
0.88 0.65
0.75 0.24
0.15 0.65
0.32 0.01
0.61 0.73
0.63 0.06
0.78 0.84
0.87 0.03
0.74 0.35
0.47 0.55
0.92 0.36
0.16 0.93
0.05 0.31
0.24 0.47
0.91 0.91
0.04 0.02
0.69 0.05
0.35 0.23
0.13 0.24
0.81 0.73
0.05 0.52
0.78 0.3
0.19 0.27
0.02 0.23
0.16 0.02
0.76 0.38
0.95 0.97
0.85 0.84
0.77 0.86
0.3 0.76
0.42 0.16
0.32 0.7
0.73 0.74
0.4 0.74
0.76 0.32
0.86 0.54
0.38 0.11
0.18 0.3
0.53 0.33
0.67 0.57
0.53 0.28
0.54 0.71
0.55 0.86
0.13 0.28
0.12 0.16
0.48 0.85
0.31 0.88
0.64 0.01
0.24 0.24
0.62 0.02
0.72 0.17
0.16 0.78
0.5 0.65
0.22 0.52
0.76 0.67
0.8 0.97
0.84 0.6
0.01 0.82
0.77 0.8
0.67 0.95
0.66 0.01
0.3 0.06
0.3 0.14
0.51 0.25
0.84 0.2
0.54 0.77
0.49 0.55
0.85 0.12
0.41 0.96
0.65 0.95
0.68 0.43
0.66 0.43
0.27 0.94
0.16 0.59
0.08 0.39
0.38 0.29
0.83 0.35
0.17 0.77
0.68 0.96
0.46 0.55
0.54 0.97
0.83 0.95
0.49 0.49
0.79 0.76
0.61 0.67
0.19 0.92
0.92 0.54
0.68 0.39
0.53 0.79
0.16 0.95
0.9 0.38
0.2 0.15
0.31 0.83
0.84 0.84
0.45 0.82
0.5 0.56
0.52 0.7
0.78 0.48
0.79 0.39
0.17 0.23
0.47 0.33
0.97 0.51
0.25 0.94
0.03 0.78
0.99 0.48
0.94 0.03
0.74 0.02
0.33 0.64
0.99 0.25
0.78 0.87
0.79 0.89
0.81 0.69
0.29 0.77
0.54 0.42
0.04 0.96
0.19 0.84
0.08 0.13
0.57 0.38
0.09 0.09
0.87 0.39
0.23 0.95
0.44 0.1
0.23 0.55
0.85 0.6
0.38 0.6
0.89 0.38
0.89 0.42
0.26 0.67
0.77 0.24
0.62 0.67
0.1 0.64
0.5 0.42
0.29 0.35
0.12 0.99
0.36 0.42
0.49 0.79
0.97 0.97
0.52 0.46
0.45 0.45
0.22 0.9
0.39 0.42
0.33 0.01
0.24 0.05
0.61 0.27
0.51 0.82
0.55 0.96
0.5 0.98
0.41 0.52
0.26 0.59
0.83 0.19
0.95 0.44
0.83 0.78
0.3 0.12
0.6 0.54
0.77 0.74
0.76 0.09
0.45 0.92
0.5 0.66
0.09 0.24
0.42 0.47
0.43 0.77
0.64 0.27
0.85 0.89
0.62 0.83
0.48 0.35
0.08 0.98
0.95 0.22
0.98 0.29
0.97 0.3
0.42 0.93
0.51 0.98
0.71 0.2
0.33 0.06
0.53 0.18
0.81 0.18
0.49 0.85
0.62 0.28
0.97 0.88
0.54 0.78
0.55 0.97
0.81 0.46
0.67 0.84
0.06 0.61
0.55 0.82
0.68 0.05
0.15 0.61
0.33 0.04
0.84 0.62
0.29 0.22
0.5 0.86
0.15 0.54
0.7 0.06
0.95 0.64
0.06 0.01
0.9 0.86
0.08 0.59
0.96 0.08
0.36 0.19
0.76 0.82
0.83 0.86
0.5 0.57
0.36 0.78
0.32 0.29
0.16 0.77
0.9 0.26
0.66 0.88
0.95 0.38
0.51 0.05
0.09 0.45
0.35 0.2
0.57 0.34
0.92 0.59
0.38 0.74
0.56 0.16
0.96 0.88
0.2 0.5
0.13 0.69
0.18 0.94
0.54 0.75
0.19 0.35
0.67 0.23
0.56 0.01
0.9 0.03
0.92 0.97
0.84 0.78
0.41 0.05
0.99 0.42
0.23 0.87
0.01 0.29
0.94 0.35
0.66 0.71
0.05 0.25
0.08 0.53
0.13 0.53
0.21 0.82
0.07 0.11
0.08 0.7
0.76 0.97
0.91 0.5
0.59 0.52
0.12 0.36
0.27 0.93
0.08 0.79
0.23 0.32
0.92 0.65
0.04 0.11
0.04 0.2
0.46 0.53
0.09 0.27
0.88 0.44
0.66 0.44
0.74 0.1
0.3 0.8
0.7 0.6
0.04 0.51
0.94 0.4
0.8 0.44
0.75 0.63
0.22 0.19
0.37 0.69
0.65 0.42
0.94 0.26
0.28 0.23
0.69 0.58
0.16 0.69
0.78 0.4
0.37 0.21
0.28 0.72
0.76 0.12
0.37 0.07
0.88 0.06
0.92 0.67
0.28 0.69
0.58 0.05
0.51 0.2
0.01 0.32
0.46 0.09
0.07 0.55
0.45 0.48
0.85 0.14
0.47 0.03
0.96 0.3
0.56 0.61
0.09 0.48
0.19 0.55
0.89 0.2
0.66 0.57
0.92 0.38
0.91 0.09
0.52 0.91
0.68 0.65
0.36 0.95
0.34 0.21
0.43 0.43
0.57 0.48
0.93 0.33
0.63 0.83
0.39 0.57
0.88 0.61
0.63 0.5
0.91 0.39
0.37 0.15
0.68 0.76
0.11 0.92
0.28 0.98
0.98 0.98
0.66 0.56
0.74 0.7
0.84 0.01
0.8 0.19
0.08 0.09
0.91 0.81
0.73 0.59
0.5 0.16
0.71 0.6
0.42 0.38
0.33 0.58
0.21 0.76
0.9 0.98
0.44 0.64
0.29 0.38
0.03 0.09
0.48 0.5
0.45 0.16
0.79 0.61
0.14 0.44
0.48 0.68
0.67 0.35
0.07 0.21
0.6 0.58
0.79 0.57
0.9 0.01
0.78 0.35
0.05 0.54
0.28 0.99
0.7 0.77
0.97 0.31
0.64 0.18
0.55 0.65
0.41 0.89
0.84 0.88
0.38 0.58
0.68 0.64
0.18 0.41
0.46 0.66
0.16 0.8
0.96 0.12
0.07 0.61
0.42 0.72
0.39 0.86
0.02 0.88
0.04 0.29
0.56 0.3
0.27 0.08
0.04 0.55
0.21 0.62
0.43 0.15
0.61 0.26
0.35 0.21
0.34 0.22
0.8 0.24
0.33 0.75
0.19 0.45
0.57 0.58
0.93 0.46
0.27 0.02
0.02 0.32
0.34 0.45
0.45 0.86
0.12 0.9
0.86 0.02
0.9 0.07
0.95 0.05
0.48 0.2
0.51 0.24
0.33 0.32
0.41 0.3
0.47 0.71
0.19 0.08
0.04 0.48
0.48 0.45
0.82 0.93
0.97 0.5
0.48 0.71
0.75 0.62
0.61 0.38
0.71 0.5
0.73 0.47
0.38 0.26
0.36 0.68
0.5 0.24
0.96 0.27
0.8 0.14
0.74 0.66
0.72 0.64
0.24 0.18
