"gam" "nu"
0.73 0.64
0.82 0.8
0.93 0.5
0.01 0.66
0.55 0.38
0.91 0.3
0.8 0.76
0.86 0.74
0.17 0.19
0.9 0.27
0.46 0.3
0.91 0.38
0.45 0.32
0.15 0.22
0.73 0.66
0.48 0.58
0.43 0.47
0.81 0.97
0.28 0.1
0.01 0.78
0.71 0.94
0.45 0.67
0.2 0.94
0.18 0.33
0.02 0.78
0.05 0.75
0.81 0.08
0.01 0.7
0.26 0.97
0.36 0.87
0.33 0.46
0.91 0.11
0.45 0.58
0.29 0.29
0.07 0.7
0.55 0.88
0.21 0.77
0.84 0.9
0.79 0.1
0.43 0.84
0.85 0.7
0.66 0.94
0.99 0.18
0.68 0.48
0.73 0.48
0.98 0.55
0.66 0.47
0.07 0.51
0.21 0.98
0.09 0.32
0.41 0.92
0.35 0.43
0.92 0.47
0.83 0.79
0.25 0.73
0.69 0.23
0.64 0.33
0.64 0.59
0.41 0.19
0.67 0.51
0.3 0.7
0.66 0.4
0.25 0.01
0.49 0.3
0.97 0.04
0.19 0.97
0.71 0.67
0.57 0.53
0.48 0.15
0.89 0.07
0.35 0.42
0.63 0.24
0.97 0.69
0.92 0.48
0.57 0.72
0.55 0.69
0.92 0.87
0.21 0.18
0.53 0.4
0.62 0.32
0.01 0.89
0.55 0.55
0.49 0.64
0.62 0.82
0.23 0.83
0.99 0.3
0.89 0.8
0.8 0.81
0.57 0.59
0.47 0.27
0.52 0.13
0.37 0.77
0.54 0.21
0.64 0.76
0.51 0.34
0.22 0.15
0.64 0.9
0.93 0.05
0.23 0.64
0.96 0.49
0.59 0.35
0.28 0.79
0.74 0.85
0.03 0.29
0.46 0.52
0.11 0.67
0.49 0.2
0.9 0.54
0.4 0.57
0.72 0.49
0.6 0.19
0.02 0.86
0.9 0.19
0.18 0.34
0.03 0.87
0.91 0.25
0.44 0.34
0.47 0.66
0.95 0.89
0.5 0.53
0.25 0.02
0.67 0.96
0.41 0.17
0.95 0.54
0.96 0.47
0.28 0.44
0.46 0.43
0.74 0.64
0.13 0.61
0.37 0.59
0.75 0.28
0.26 0.23
0.63 0.61
0.48 0.41
0.62 0.79
0.7 0.54
0.59 0.83
0.71 0.86
0.25 0.92
0.78 0.68
0.31 0.97
0.39 0.81
0.6 0.84
0.42 0.55
0.43 0.36
0.85 0.11
0.75 0.56
0.49 0.92
0.24 0.08
0.75 0.11
0.96 0.18
0.41 0.06
0.7 0.15
0.84 0.34
0.72 0.24
0.37 0.91
0.71 0.68
0.3 0.07
0.02 0.7
0.3 0.5
0.43 0.58
0.57 0.92
0.11 0.78
0.69 0.22
0.65 0.39
0.92 0.92
0.24 0.43
0.81 0.67
0.11 0.96
0.43 0.19
0.7 0.83
0.32 0.75
0.55 0.22
0.93 0.2
0.41 0.62
0.68 0.07
0.37 0.81
0.17 0.47
0.41 0.71
0.5 0.39
0.53 0.87
0.52 0.64
0.07 0.94
0.8 0.82
0.22 0.3
0.66 0.28
0.81 0.38
0.74 0.37
0.46 0.79
0.94 0.23
0.79 0.72
0.4 0.07
0.28 0.46
0.48 0.52
0.79 0.71
0.06 0.17
0.52 0.03
0.04 0.31
0.46 0.38
0.34 0.26
0.8 0.38
0.53 0.73
0.24 0.32
0.82 0.95
0.2 0.18
0.1 0.41
0.2 0.31
0.43 0.61
0.21 0.53
0.09 0.82
0.8 0.07
0.5 0.07
0.51 0.76
0.21 0.96
0.51 0.56
0.24 0.93
0.69 0.96
0.76 0.44
0.75 0.34
0.67 0.14
0.15 0.88
0.92 0.33
0.74 0.68
0.91 0.57
0.1 0.59
0.32 0.26
0.58 0.26
0.78 0.89
0.65 0.06
0.59 0.42
0.27 0.38
0.5 0.51
0.2 0.83
0.12 0.83
0.06 0.16
0.82 0.43
0.07 0.13
0.18 0.67
0.64 0.84
0.02 0.43
0.22 0.18
0.47 0.04
0.13 0.56
0.84 0.57
0.48 0.88
0.19 0.99
0.96 0.96
0.14 0.74
0.77 0.01
0.02 0.03
0.56 0.5
0.74 0.41
0.24 0.87
0.42 0.63
0.03 0.08
0.62 0.48
0.05 0.68
0.33 0.05
0.86 0.77
0.15 0.52
0.42 0.28
0.35 0.65
0.9 0.5
0.88 0.8
0.05 0.42
0.19 0.77
0.85 0.64
0.1 0.04
0.1 0.1
0.38 0.72
0.33 0.95
0.78 0.94
0.52 0.61
0.1 0.92
0.27 0.39
0.99 0.15
0.75 0.42
0.26 0.12
0.16 0.81
0.25 0.82
0.69 0.21
0.23 0.08
0.39 0.71
0.68 0.73
0.49 0.88
0.43 0.3
0.93 0.09
0.4 0.33
0.16 0.16
0.83 0.08
0.64 0.58
0.52 0.67
0.77 0.91
0.27 0.54
0.5 0.8
0.59 0.05
0.35 0.77
0.35 0.28
0.91 0.02
0.73 0.89
0.77 0.9
0.08 0.78
0.73 0.37
0.05 0.89
0.21 0.35
0.92 0.57
0.17 0.82
0.34 0.46
0.73 0.23
0.36 0.64
0.31 0.01
0.03 0.44
0.75 0.22
0.12 0.02
0.38 0.05
0.77 0.43
0.5 0.91
0.99 0.41
0.42 0.35
0.32 0.9
0.95 0.61
0.35 0.12
0.88 0.36
0.6 0.69
0.96 0.74
0.79 0.21
0.44 0.82
0.86 0.84
0.92 0.29
0.48 0.63
0.76 0.2
0.35 0.08
0.06 0.35
0.82 0.25
0.33 0.5
0.34 0.55
0.09 0.15
0.86 0.03
0.24 0.16
0.98 0.15
0.1 0.35
0.49 0.86
0.77 0.93
0.45 0.76
0.4 0.04
0.53 0.08
0.2 0.69
0.75 0.27
0.56 0.15
0.17 0.03
0.73 0.13
0.5 0.21
0.19 0.25
0.63 0.71
0.82 0.48
0.52 0.1
0.28 0.87
0.69 0.53
0.66 0.66
0.02 0.14
0.57 0.19
0.77 0.76
0.29 0.17
0.94 0.76
0.52 0.59
0.97 0.16
0.08 0.15
0.75 0.16
0.45 0.53
0.48 0.94
0.95 0.67
0.17 0.54
0.39 0.24
0.69 0.88
0.16 0.35
0.25 0.32
0.72 0.85
0.3 0.17
0.11 0.16
0.69 0.5
0.81 0.66
0.63 0.4
0.87 0.3
0.72 0.7
0.72 0.98
0.28 0.47
0.68 0.14
0.88 0.05
0.83 0.03
0.93 0.94
0.02 0.18
0.54 0.93
0.34 0.14
0.64 0.42
0.81 0.61
0.47 0.7
0.34 0.24
0.45 0.91
0.92 0.76
0.51 0.8
0.99 0.02
0.21 0.34
0.58 0.32
0.46 0.41
0.1 0.23
0.02 0.81
0.38 0.82
0.55 0.85
0.7 0.52
0.61 0.23
0.99 0.94
0.49 0.15
0.42 0.36
0.16 0.64
0.94 0.18
0.29 0.6
0.32 0.18
0.12 0.31
0.66 0.64
0.75 0.89
0.43 0.83
0.35 0.91
0.14 0.7
0.44 0.72
0.52 0.02
0.13 0.73
0.93 0.91
0.06 0.14
0.16 0.09
0.11 0.15
0.78 0.33
0.87 0.12
0.64 0.74
0.72 0.19
0.2 0.19
0.09 0.61
0.78 0.08
0.84 0.33
0.71 0.66
0.53 0.81
0.62 0.56
0.98 0.16
0.31 0.04
0.37 0.42
0.07 0.49
0.97 0.78
0.63 0.72
0.53 0.34
0.59 0.03
0.69 0.07
0.56 0.11
0.76 0.92
0.56 0.78
0.98 0.74
0.44 0.28
0.74 0.79
0.72 0.29
0.47 0.24
0.92 0.17
0.6 0.1
0.32 0.94
0.03 0.36
0.48 0.86
0.19 0.47
0.59 0.31
0.25 0.43
0.07 0.8
0.52 0.79
0.02 0.91
0.4 0.14
0.66 0.32
0.99 0.11
0.92 0.82
0.7 0.07
0.75 0.57
0.34 0.01
0.04 0.83
0.74 0.96
0.81 0.77
0.44 0.05
0.01 0.49
0.1 0.25
0.71 0.69
0.71 0.33
0.14 0.89
0.25 0.31
0.88 0.71
0.01 0.73
0.83 0.04
0.31 0.19
0.95 0.9
0.11 0.41
0.37 0.97
0.89 0.62
0.27 0.12
0.86 0.1
0.43 0.02
0.75 0.5
0.55 0.29
0.59 0.92
0.1 0.95
0.47 0.82
0.32 0.23
0.84 0.51
0.27 0.4
0.84 0.52
0.11 0.57
0.38 0.03
0.03 0.5
0.73 0.88
0.98 0.97
0.72 0.23
0.64 0.63
0.41 0.15
0.97 0.42
0.13 0.22
0.8 0.95
0.64 0.91
0.94 0.6
0.12 0.68
0.61 0.34
0.09 0.31
0.22 0.84
0.9 0.02
0.73 0.91
0.78 0.26
0.86 0.95
0.08 0.69
0.14 0.81
0.54 0.22
0.55 0.39
0.05 0.22
0.19 0.93
0.66 0.8
0.58 0.89
0.52 0.28
0.96 0.87
0.65 0.2
0.07 0.03
0.72 0.05
0.61 0.87
0.39 0.73
0.5 0.54
0.52 0.77
0.33 0.51
0.38 0.97
0.85 0.33
0.86 0.76
0.35 0.88
0.75 0.69
0.55 0.2
0.32 0.47
0.88 0.67
0.3 0.1
0.94 0.47
0.39 0.36
0.23 0.05
0.03 0.17
0.67 0.05
0.32 0.12
0.89 0.22
0.98 0.27
0.87 0.68
0.24 0.45
0.95 0.4
0.22 0.29
0.36 0.32
0.61 0.17
0.17 0.06
0.02 0.97
0.09 0.85
0.42 0.29
0.11 0.43
0.85 0.15
0.48 0.28
0.5 0.64
0.25 0.46
0.28 0.74
0.6 0.63
0.53 0.13
0.04 0.1
0.83 0.94
0.16 0.85
0.4 0.44
0.95 0.39
0.47 0.17
0.1 0.51
0.92 0.13
0.77 0.66
0.12 0.4
0.8 0.8
0.87 0.74
0.75 0.08
0.47 0.53
0.52 0.78
0.74 0.03
0.03 0.19
0.47 0.45
0.42 0.18
0.54 0.98
0.21 0.87
0.56 0.77
0.38 0.69
0.67 0.98
0.19 0.94
0.84 0.96
0.48 0.9
0.99 0.57
0.29 0.44
0.93 0.52
0.13 0.55
0.72 0.03
0.24 0.83
0.65 0.01
0.1 0.69
0.35 0.6
0.83 0.72
0.11 0.37
0.31 0.53
0.79 0.8
0.43 0.41
0.95 0.13
0.65 0.67
0.74 0.75
0.39 0.29
0.1 0.29
0.81 0.95
0.76 0.02
0.45 0.09
0.03 0.37
0.63 0.8
0.49 0.46
0.12 0.29
0.61 0.11
0.09 0.64
0.93 0.93
0.24 0.9
0.8 0.11
0.89 0.02
0.94 0.38
0.65 0.13
0.35 0.45
0.84 0.35
0.09 0.06
0.02 0.51
0.65 0.21
0.26 0.77
0.65 0.17
0.95 0.06
0.52 0.24
0.86 0.11
0.52 0.85
0.18 0.89
0.19 0.31
0.94 0.95
