"gam" "nu"
0.14 0.35
0.7 0.24
0.37 0.93
0.09 0.73
0.07 0.41
0.15 0.49
0.16 0.39
0.37 0.54
0.39 0.18
0.44 0.65
0.69 0.19
0.79 0.77
0.19 0.86
0.71 0.45
0.44 0.26
0.1 0.27
0.54 0.68
0.73 0.38
0.8 0.88
0.69 0.37
0.76 0.29
0.81 0.5
0.39 0.97
0.37 0.72
0.82 0.72
0.56 0.86
0.48 0.08
0.64 0.67
0.39 0.69
0.66 0.46
0.55 0.81
0.48 0.47
0.83 0.16
0.65 0.66
0.11 0.31
0.78 0.29
0.76 0.99
0.44 0.19
0.02 0.9
0.42 0.65
0.2 0.54
0.96 0.31
0.61 0.31
0.21 0.31
0.56 0.53
0.78 0.65
0.25 0.54
0.08 0.82
0.22 0.88
0.89 0.14
0.34 0.37
0.88 0.43
0.74 0.11
0.14 0.16
0.8 0.1
0.59 0.38
0.08 0.95
0.27 0.55
0.32 0.67
0.62 0.62
0.71 0.38
0.02 0.49
0.17 0.27
0.09 0.52
0.15 0.93
0.72 0.65
0.74 0.78
0.81 0.9
0.04 0.04
0.82 0.36
0.58 0.97
0.07 0.02
0.07 0.17
0.89 0.66
0.13 0.96
0.53 0.54
0.23 0.45
0.25 0.49
0.16 0.7
0.92 0.44
0.26 0.45
0.06 0.52
0.33 0.49
0.85 0.53
0.23 0.46
0.35 0.05
0.12 0.5
0.62 0.95
0.9 0.94
0.54 0.82
0.83 0.4
0.51 0.31
0.89 0.41
0.03 0.64
0.2 0.93
0.21 0.38
0.4 0.65
0.01 0.23
0.34 0.23
0.65 0.02
0.49 0.78
0.24 0.52
0.63 0.86
0.47 0.79
0.34 0.27
0.42 0.66
0.95 0.74
0.24 0.94
0.88 0.31
0.55 0.06
0.17 0.92
0.61 0.47
0.01 0.64
0.52 0.58
0.84 0.74
0.56 0.07
0.2 0.07
0.67 0.54
0.18 0.11
0.4 0.92
0.43 0.73
0.45 0.51
0.72 0.77
0.72 0.43
0.9 0.24
0.96 0.16
0.38 0.12
0.02 0.99
0.29 0.26
0.56 0.96
0.51 0.71
0.31 0.02
0.22 0.58
0.04 0.95
0.64 0.41
0.64 0.39
0.57 0.93
0.8 0.9
0.22 0.35
0.12 0.66
0.69 0.28
0.75 0.48
0.2 0.99
0.22 0.56
0.01 0.94
0.1 0.36
0.5 0.04
0.37 0.98
0.74 0.15
0.99 0.58
0.66 0.91
0.52 0.42
0.43 0.14
0.41 0.68
0.7 0.45
0.87 0.44
0.69 0.06
0.56 0.98
0.42 0.51
0.97 0.62
0.43 0.94
0.87 0.05
0.71 0.35
0.32 0.05
0.97 0.11
0.36 0.79
0.01 0.86
0.76 0.6
0.48 0.96
0.07 0.59
0.74 0.24
0.82 0.45
0.63 0.11
0.96 0.36
0.3 0.84
0.43 0.99
0.63 0.13
0.83 0.77
0.53 0.46
0.11 0.02
0.66 0.12
0.3 0.95
0.01 0.28
0.01 0.52
0.62 0.05
0.42 0.53
0.93 0.96
0.76 0.61
0.26 0.95
0.87 0.69
0.71 0.65
0.63 0.35
0.1 0.54
0.83 0.09
0.11 0.44
0.76 0.15
0.67 0.06
0.35 0.48
0.91 0.21
0.78 0.72
0.68 0.95
0.06 0.48
0.49 0.95
0.15 0.99
0.07 0.89
0.59 0.95
0.94 0.8
0.18 0.13
0.39 0.26
0.16 0.5
0.79 0.04
0.95 0.23
0.39 0.5
0.82 0.71
0.38 0.94
0.37 0.47
0.94 0.82
0.44 0.6
0.78 0.56
0.77 0.61
0.83 0.99
0.21 0.9
0.98 0.03
0.05 0.78
0.36 0.11
0.37 0.83
0.36 0.16
0.59 0.41
0.44 0.73
0.48 0.26
0.91 0.94
0.12 0.32
0.13 0.43
0.39 0.58
0.34 0.05
0.82 0.21
0.29 0.94
0.24 0.8
0.22 0.32
0.91 0.77
0.29 0.55
0.48 0.61
0.9 0.2
0.92 0.03
0.48 0.77
0.52 0.33
0.63 0.3
0.39 0.62
0.76 0.81
0.89 0.21
0.94 0.86
0.65 0.07
0.51 0.55
0.33 0.76
0.29 0.61
0.69 0.3
0.54 0.74
0.05 0.82
0.96 0.17
0.18 0.51
0.19 0.7
0.89 0.81
0.74 0.38
0.35 0.8
0.06 0.12
0.09 0.51
0.42 0.81
0.92 0.27
0.2 0.08
0.86 0.12
0.74 0.91
0.2 0.7
0.52 0.14
0.12 0.84
0.71 0.24
0.46 0.63
0.12 0.35
0.95 0.91
0.29 0.18
0.29 0.49
0.7 0.99
0.78 0.75
0.83 0.63
0.02 0.17
0.76 0.23
0.7 0.32
0.61 0.72
0.86 0.98
0.58 0.55
0.13 0.45
0.77 0.5
0.01 0.65
0.07 0.68
0.82 0.06
0.92 0.61
0.61 0.6
0.48 0.83
0.83 0.85
0.01 0.85
0.21 0.92
0.68 0.63
0.33 0.91
0.47 0.21
0.76 0.75
0.24 0.49
0.6 0.87
0.1 0.14
0.57 0.9
0.76 0.95
0.74 0.63
0.65 0.32
0.07 0.97
0.15 0.06
0.74 0.13
0.82 0.57
0.7 0.02
0.19 0.82
0.24 0.7
0.05 0.73
0.3 0.46
0.26 0.62
0.18 0.1
0.41 0.54
0.76 0.84
0.44 0.93
0.97 0.65
0.34 0.18
0.23 0.77
0.63 0.77
0.11 0.95
0.93 0.13
0.13 0.07
0.24 0.5
0.65 0.1
0.85 0.81
0.79 0.79
0.23 0.31
0.88 0.58
0.78 0.44
0.81 0.63
0.59 0.56
0.95 0.77
0.18 0.04
0.47 0.05
0.28 0.94
0.81 0.94
0.77 0.14
0.06 0.4
0.73 0.95
0.35 0.3
0.83 0.28
0.72 0.69
0.98 0.65
0.25 0.24
0.82 0.04
0.01 0.81
0.93 0.59
