"gam" "nu"
0.55 0.47
0.07 0.31
0.8 0.86
0.6 0.04
0.66 0.22
0.64 0.09
0.87 0.66
0.27 0.69
0.65 0.23
0.29 0.39
0.52 0.71
0.88 0.15
0.14 0.03
0.58 0.13
0.51 0.48
0.48 0.69
0.12 0.14
0.69 0.13
0.57 0.06
0.99 0.45
0.33 0.4
0.19 0.03
0.89 0.49
0.23 0.88
0.35 0.71
0.8 0.16
0.79 0.09
0.01 0.62
0.11 0.97
0.4 0.99
0.79 0.25
0.03 0.38
0.78 0.02
0.59 0.49
0.4 0.96
0.41 0.98
0.71 0.07
0.65 0.73
0.48 0.62
0.96 0.44
0.33 0.26
0.78 0.66
0.01 0.43
0.36 0.06
0.29 0.63
0.31 0.27
0.29 0.46
0.41 0.23
0.05 0.24
0.44 0.09
0.65 0.52
0.48 0.54
0.81 0.44
0.03 0.35
0.55 0.76
0.57 0.17
0.02 0.74
0.16 0.45
0.46 0.82
0.14 0.79
0.43 0.2
0.74 0.32
0.26 0.01
0.86 0.44
0.67 0.13
0.79 0.11
0.69 0.8
0.34 0.85
0.9 0.78
0.8 0.73
0.33 0.99
0.58 0.6
0.39 0.47
0.47 0.38
0.14 0.98
0.75 0.39
0.43 0.12
0.71 0.9
0.58 0.04
0.17 0.83
0.37 0.06
0.08 0.64
0.58 0.86
0.46 0.46
0.84 0.49
0.79 0.5
0.58 0.47
0.11 0.56
0.48 0.65
0.5 0.45
0.27 0.72
0.07 0.67
0.65 0.53
0.94 0.85
0.88 0.77
0.71 0.77
0.94 0.5
0.41 0.64
0.4 0.23
0.82 0.47
0.81 0.85
0.17 0.46
0.54 0.19
0.48 0.75
0.08 0.05
0.28 0.59
0.49 0.38
0.65 0.87
0.38 0.78
0.85 0.02
0.9 0.66
0.51 0.85
0.18 0.84
0.34 0.87
0.12 0.33
0.45 0.28
0.75 0.31
0.61 0.03
0.28 0.68
0.72 0.38
0.62 0.84
0.58 0.23
0.25 0.76
0.59 0.82
0.96 0.43
0.49 0.97
0.32 0.24
0.8 0.26
0.96 0.57
0.82 0.54
0.86 0.68
0.06 0.63
0.29 0.96
0.51 0.89
0.44 0.47
0.95 0.96
0.45 0.8
0.16 0.58
0.85 0.66
0.42 0.73
0.48 0.01
0.76 0.45
0.75 0.94
0.25 0.41
0.65 0.72
0.56 0.51
0.46 0.57
0.8 0.51
0.57 0.98
0.11 0.93
0.14 0.37
0.82 0.28
0.26 0.96
0.73 0.97
0.91 0.73
0.54 0.58
0.54 0.06
0.26 0.06
0.83 0.64
0.06 0.86
0.15 0.46
0.16 0.34
0.88 0.54
0.9 0.93
0.45 0.08
0.71 0.83
0.38 0.14
0.88 0.34
0.3 0.59
0.75 0.26
0.91 0.97
0.46 0.85
0.32 0.2
0.4 0.52
0.59 0.72
0.01 0.97
0.98 0.3
0.81 0.35
0.87 0.46
0.99 0.14
0.49 0.73
0.74 0.6
0.33 0.3
0.52 0.44
0.77 0.23
0.32 0.06
0.32 0.93
0.93 0.16
0.89 0.59
0.44 0.04
0.68 0.59
0.16 0.61
0.68 0.8
0.06 0.09
0.75 0.97
0.57 0.77
0.75 0.78
0.11 0.65
0.67 0.34
0.53 0.19
0.33 0.09
0.16 0.51
0.86 0.41
0.12 0.24
0.55 0.04
0.83 0.58
0.7 0.96
0.46 0.89
0.92 0.51
0.82 0.97
0.78 0.13
0.11 0.29
0.12 0.81
0.57 0.24
0.06 0.89
0.28 0.02
0.36 0.26
0.75 0.49
0.45 0.52
0.44 0.58
0.62 0.93
0.26 0.9
0.75 0.83
0.09 0.6
0.93 0.19
0.23 0.99
0.53 0.15
0.1 0.66
0.99 0.82
0.76 0.16
0.94 0.97
0.38 0.98
0.82 0.58
0.58 0.22
0.68 0.66
0.7 0.16
0.09 0.92
0.57 0.39
0.27 0.7
0.67 0.39
0.04 0.17
0.69 0.03
0.14 0.67
0.18 0.24
0.16 0.66
0.04 0.71
0.87 0.08
0.68 0.49
0.28 0.86
0.93 0.03
0.62 0.72
0.91 0.1
0.92 0.01
0.97 0.43
0.46 0.34
0.55 0.73
0.57 0.03
0.36 0.07
0.77 0.69
0.66 0.1
0.01 0.44
0.71 0.27
0.89 0.6
0.93 0.79
0.85 0.65
0.78 0.74
0.29 0.27
0.1 0.37
0.89 0.47
0.55 0.61
0.94 0.22
0.72 0.35
0.1 0.53
0.15 0.92
0.45 0.83
0.07 0.9
0.09 0.38
0.44 0.44
0.23 0.86
0.07 0.66
0.84 0.99
0.65 0.36
0.65 0.14
0.72 0.44
0.04 0.53
0.06 0.34
0.2 0.63
0.61 0.09
0.74 0.89
0.64 0.83
0.38 0.43
0.61 0.06
0.34 0.89
0.94 0.83
0.82 0.82
0.61 0.55
0.77 0.75
0.81 0.05
0.24 0.11
0.95 0.81
0.08 0.96
0.19 0.95
0.63 0.51
0.58 0.19
0.14 0.9
0.73 0.29
0.71 0.61
0.54 0.81
0.18 0.37
0.05 0.63
0.31 0.93
0.36 0.45
0.05 0.92
0.7 0.67
0.29 0.97
0.02 0.13
0.97 0.33
0.38 0.49
0.71 0.72
0.76 0.21
0.06 0.1
0.54 0.32
0.03 0.33
0.76 0.57
0.26 0.35
0.65 0.86
0.59 0.68
0.14 0.09
0.71 0.71
0.93 0.64
0.66 0.85
0.37 0.22
0.17 0.44
0.49 0.04
0.47 0.51
0.4 0.11
0.13 0.82
0.06 0.38
0.72 0.33
0.65 0.38
0.1 0.19
0.98 0.59
0.58 0.27
0.63 0.21
0.05 0.34
0.21 0.83
0.32 0.25
0.29 0.51
0.19 0.22
0.58 0.35
0.26 0.43
0.08 0.25
0.6 0.08
0.74 0.12
0.24 0.53
0.29 0.76
0.15 0.12
0.26 0.93
0.92 0.4
0.74 0.73
0.82 0.12
0.04 0.33
0.68 0.46
0.51 0.28
0.81 0.23
0.64 0.97
0.95 0.09
0.36 0.86
0.2 0.91
0.74 0.44
0.7 0.37
0.71 0.79
0.61 0.25
0.03 0.85
0.08 0.58
0.06 0.9
0.67 0.8
0.08 0.67
0.27 0.42
0.49 0.19
0.03 0.57
0.07 0.69
0.38 0.22
0.97 0.79
0.52 0.25
0.99 0.67
0.76 0.5
0.98 0.88
0.22 0.54
0.01 0.68
0.05 0.7
0.56 0.17
0.25 0.78
0.66 0.63
0.33 0.97
0.66 0.35
0.5 0.63
0.6 0.07
0.72 0.5
0.59 0.6
0.97 0.06
0.06 0.49
0.86 0.38
0.86 0.15
0.03 0.07
0.94 0.49
0.88 0.64
0.22 0.77
0.24 0.57
0.61 0.21
0.75 0.67
0.66 0.98
0.89 0.35
0.67 0.53
0.79 0.74
0.5 0.1
0.95 0.2
0.03 0.62
0.37 0.09
0.44 0.83
0.77 0.11
0.09 0.74
0.31 0.2
0.71 0.05
0.6 0.31
0.9 0.88
0.54 0.09
0.61 0.19
0.84 0.8
0.68 0.68
0.84 0.64
0.32 0.77
0.62 0.25
0.55 0.07
0.17 0.99
0.14 0.39
0.55 0.27
0.25 0.51
0.36 0.77
0.48 0.49
0.2 0.56
0.1 0.72
0.75 0.73
0.33 0.34
0.97 0.09
0.34 0.88
0.78 0.41
0.46 0.91
0.28 0.58
0.46 0.61
0.58 0.63
0.51 0.27
0.58 0.34
0.15 0.62
0.08 0.06
0.89 0.58
0.86 0.85
0.28 0.13
0.38 0.2
0.32 0.86
0.16 0.28
0.64 0.78
0.9 0.31
0.11 0.07
0.69 0.54
0.8 0.84
0.38 0.54
0.51 0.17
0.95 0.95
0.6 0.15
0.71 0.75
0.81 0.8
0.23 0.96
0.98 0.05
0.26 0.49
0.91 0.72
0.33 0.96
0.28 0.61
0.59 0.7
0.64 0.26
0.1 0.98
0.94 0.29
0.66 0.83
0.29 0.21
0.83 0.36
0.7 0.14
0.8 0.39
0.12 0.01
0.79 0.43
0.3 0.13
0.49 0.67
0.81 0.14
0.94 0.57
0.04 0.66
0.96 0.86
0.66 0.76
0.85 0.25
0.92 0.39
0.06 0.79
0.98 0.35
0.48 0.97
0.25 0.85
0.11 0.72
0.45 0.55
0.71 0.09
0.28 0.63
0.72 0.61
0.93 0.41
0.23 0.67
0.96 0.79
0.13 0.37
0.41 0.69
0.43 0.35
0.16 0.05
0.11 0.38
0.96 0.32
0.34 0.67
0.06 0.45
0.07 0.85
0.89 0.3
0.43 0.91
0.62 0.12
0.6 0.55
0.85 0.55
0.4 0.78
0.63 0.34
0.37 0.51
0.55 0.03
0.74 0.92
0.9 0.74
0.49 0.45
0.78 0.97
0.84 0.27
0.9 0.96
0.88 0.78
0.27 0.14
0.6 0.28
0.7 0.04
0.1 0.4
0.41 0.65
0.3 0.67
0.24 0.75
0.38 0.89
0.4 0.28
0.28 0.75
0.78 0.25
0.76 0.58
0.57 0.79
0.6 0.48
0.49 0.84
0.91 0.26
0.23 0.9
0.37 0.65
0.96 0.02
0.56 0.92
0.88 0.53
0.42 0.77
0.7 0.11
0.07 0.58
0.68 0.67
0.11 0.6
0.34 0.83
0.16 0.23
0.38 0.1
0.93 0.27
0.85 0.48
0.39 0.1
0.51 0.45
0.04 0.49
0.53 0.41
0.84 0.32
0.91 0.28
0.32 0.04
0.75 0.71
0.68 0.47
0.29 0.78
0.04 0.07
0.34 0.4
0.67 0.03
0.63 0.91
0.64 0.82
0.52 0.51
0.87 0.52
0.65 0.54
0.4 0.3
0.13 0.06
0.67 0.31
0.37 0.41
0.63 0.16
0.65 0.3
0.89 0.29
0.4 0.62
0.34 0.57
0.64 0.34
0.44 0.33
0.35 0.96
0.38 0.51
0.94 0.2
0.34 0.38
0.19 0.65
0.94 0.98
0.87 0.86
0.1 0.21
0.09 0.39
0.4 0.29
0.33 0.85
0.75 0.8
0.4 0.73
0.07 0.08
0.81 0.27
0.74 0.47
0.24 0.27
0.58 0.7
0.63 0.57
0.46 0.88
0.57 0.05
0.56 0.29
0.37 0.5
0.73 0.22
0.03 0.69
0.41 0.46
0.56 0.19
0.87 0.5
0.7 0.42
0.91 0.46
0.57 0.44
0.16 0.84
0.34 0.04
0.45 0.04
0.45 0.21
0.44 0.76
0.52 0.12
0.81 0.81
0.96 0.76
0.99 0.39
0.8 0.13
0.07 0.6
0.72 0.97
0.64 0.37
0.65 0.22
0.02 0.41
0.25 0.05
0.6 0.75
0.04 0.12
0.83 0.93
0.4 0.59
0.7 0.73
0.14 0.59
0.47 0.83
0.58 0.85
0.59 0.97
0.02 0.21
0.95 0.43
0.17 0.29
0.84 0.95
0.9 0.99
0.35 0.39
0.01 0.03
0.04 0.99
0.54 0.39
0.96 0.26
0.47 0.97
0.19 0.17
0.42 0.02
0.57 0.88
0.31 0.25
0.37 0.17
0.34 0.31
0.49 0.68
0.56 0.32
0.23 0.97
0.37 0.85
0.71 0.73
0.19 0.32
0.14 0.91
0.97 0.86
0.27 0.18
0.86 0.29
0.28 0.5
0.4 0.41
