"gam" "nu"
0.03 0.39
0.53 0.63
0.36 0.57
0.4 0.66
0.02 0.72
0.64 0.38
0.21 0.75
0.01 0.77
0.91 0.83
0.8 0.22
0.42 0.83
0.95 0.55
0.46 0.99
0.73 0.15
0.58 0.43
0.49 0.35
0.76 0.41
0.8 0.17
0.6 0.8
0.89 0.84
0.23 0.22
0.08 0.44
0.61 0.52
0.89 0.06
0.82 0.94
0.04 0.18
0.03 0.32
0.29 0.91
0.54 0.51
0.29 0.79
0.05 0.23
0.8 0.59
0.88 0.27
0.82 0.37
0.74 0.42
0.1 0.7
0.65 0.12
0.54 0.7
0.58 0.39
0.66 0.26
0.86 0.01
0.88 0.38
0.28 0.76
0.57 0.21
0.23 0.09
0.03 0.6
0.97 0.15
0.51 0.08
0.04 0.67
0.3 0.23
0.67 0.41
0.27 0.91
0.04 0.39
0.18 0.77
0.29 0.59
0.2 0.62
0.09 0.2
0.95 0.73
0.27 0.56
0.16 0.19
0.09 0.18
0.65 0.09
0.94 0.24
0.36 0.18
0.89 0.34
0.12 0.1
0.42 0.01
0.24 0.22
0.65 0.08
0.95 0.56
0.6 0.24
0.88 0.13
0.12 0.6
0.59 0.09
0.24 0.39
0.47 0.98
0.04 0.87
0.75 0.98
0.19 0.64
0.36 0.82
0.92 0.12
0.01 0.47
0.26 0.36
0.99 0.74
0.09 0.54
0.98 0.2
0.01 0.36
0.14 0.84
0.7 0.89
0.59 0.28
0.82 0.42
0.68 0.35
0.71 0.96
0.42 0.1
0.52 0.68
0.21 0.03
0.37 0.04
0.99 0.55
0.69 0.64
0.36 0.15
0.86 0.96
0.38 0.01
0.23 0.74
0.81 0.91
0.11 0.47
0.75 0.85
0.53 0.24
0.67 0.44
0.53 0.95
0.09 0.34
0.65 0.91
0.38 0.38
0.2 0.71
0.91 0.6
0.89 0.05
0.64 0.98
0.46 0.1
0.9 0.23
0.22 0.75
0.22 0.24
0.92 0.37
0.67 0.97
0.01 0.07
0.6 0.03
0.22 0.03
0.06 0.31
0.08 0.08
0.6 0.46
0.37 0.05
0.35 0.93
0.15 0.34
0.56 0.35
0.71 0.99
0.66 0.23
0.87 0.94
0.69 0.42
0.97 0.92
0.44 0.49
0.27 0.76
0.3 0.55
0.96 0.59
0.78 0.8
0.89 0.94
0.33 0.74
0.55 0.3
0.18 0.79
0.35 0.36
0.9 0.65
0.62 0.6
0.23 0.14
0.68 0.24
0.98 0.28
0.62 0.1
0.4 0.69
0.27 0.84
0.94 0.33
0.64 0.68
0.64 0.32
0.28 0.09
0.21 0.19
0.5 0.18
0.73 0.36
0.03 0.8
0.57 0.83
0.36 0.75
0.17 0.07
0.17 0.37
0.92 0.15
0.94 0.56
0.14 0.05
0.55 0.67
0.28 0.81
0.36 0.01
0.04 0.86
0.14 0.82
0.77 0.64
0.53 0.89
0.28 0.55
0.09 0.26
0.72 0.26
0.74 0.27
0.25 0.34
0.68 0.45
0.68 0.71
0.16 0.73
0.47 0.44
0.47 0.25
0.45 0.3
0.98 0.86
0.26 0.6
0.88 0.09
0.78 0.67
0.68 0.82
0.89 0.63
0.21 0.02
0.91 0.16
0.21 0.88
0.73 0.99
0.03 0.58
0.15 0.57
0.28 0.11
0.84 0.28
0.17 0.22
0.33 0.9
0.83 0.81
0.68 0.56
0.26 0.61
0.75 0.65
0.32 0.22
0.93 0.51
0.2 0.16
0.5 0.55
0.97 0.03
0.57 0.55
0.15 0.56
0.6 0.39
0.76 0.83
0.1 0.42
0.83 0.31
0.17 0.36
0.54 0.34
0.34 0.69
0.89 0.77
0.01 0.06
0.5 0.93
0.62 0.41
0.65 0.85
0.72 0.51
0.18 0.64
0.85 0.79
0.22 0.59
0.84 0.85
0.3 0.03
0.47 0.35
0.05 0.28
0.62 0.17
0.21 0.33
0.59 0.78
0.77 0.19
0.22 0.11
0.75 0.21
0.34 0.94
0.97 0.9
0.29 0.09
0.88 0.68
0.74 0.23
0.78 0.73
0.34 0.84
0.14 0.55
0.65 0.82
0.54 0.99
0.54 0.23
0.58 0.59
0.69 0.12
0.17 0.16
0.52 0.07
0.16 0.13
0.33 0.38
0.21 0.2
0.18 0.12
0.27 0.34
0.53 0.74
0.12 0.64
0.26 0.58
0.53 0.94
0.43 0.37
0.73 0.7
0.06 0.59
0.05 0.47
0.64 0.6
0.61 0.91
0.16 0.03
0.32 0.42
0.29 0.93
0.39 0.99
0.26 0.66
0.06 0.69
0.71 0.88
0.82 0.41
0.46 0.13
0.91 0.71
0.01 0.18
0.91 0.4
0.74 0.3
0.74 0.5
0.82 0.99
0.69 0.46
0.64 0.72
0.43 0.13
0.93 0.07
0.64 0.96
0.45 0.06
0.44 0.59
0.02 0.01
0.34 0.51
0.82 0.73
0.24 0.89
0.13 0.35
0.84 0.16
0.35 0.95
0.38 0.16
0.56 0.68
0.71 0.01
0.77 0.6
0.46 0.42
0.82 0.87
0.18 0.5
0.06 0.03
0.4 0.94
0.49 0.77
0.54 0.16
0.71 0.48
0.96 0.84
0.39 0.72
0.01 0.17
0.89 0.08
0.17 0.53
0.9 0.21
0.97 0.91
0.23 0.58
0.71 0.23
0.26 0.28
0.61 0.42
0.44 0.85
0.94 0.31
0.31 0.07
0.04 0.76
0.58 0.73
0.34 0.2
0.85 0.75
0.82 0.11
0.02 0.04
0.83 0.38
0.46 0.39
0.42 0.69
0.73 0.5
0.72 0.27
0.7 0.86
0.13 0.42
0.15 0.32
0.85 0.95
0.67 0.52
0.57 0.76
0.98 0.62
0.22 0.09
0.46 0.62
0.86 0.71
0.22 0.01
0.26 0.56
0.77 0.22
0.61 0.88
0.16 0.06
0.77 0.32
0.44 0.38
0.66 0.52
0.26 0.04
0.11 0.14
0.88 0.88
0.15 0.86
0.99 0.21
0.5 0.08
0.79 0.32
0.98 0.45
0.91 0.03
0.64 0.61
0.5 0.33
0.67 0.71
0.3 0.52
0.97 0.57
0.18 0.68
0.07 0.26
0.32 0.1
0.37 0.63
0.18 0.95
0.81 0.56
0.22 0.97
0.51 0.9
0.59 0.99
0.07 0.44
0.16 0.9
0.77 0.72
0.77 0.58
0.33 0.45
0.32 0.95
0.14 0.78
0.26 0.74
0.57 0.66
0.26 0.02
0.75 0.75
0.78 0.59
0.75 0.99
0.92 0.98
0.16 0.79
0.58 0.71
0.08 0.9
0.62 0.51
0.3 0.48
0.9 0.13
0.67 0.32
0.13 0.68
0.06 0.99
0.3 0.72
0.97 0.08
0.97 0.36
0.96 0.05
0.27 0.66
0.57 0.22
0.84 0.38
0.01 0.39
0.32 0.62
0.13 0.31
0.97 0.05
0.73 0.1
0.72 0.55
0.36 0.14
0.01 0.87
0.31 0.44
0.56 0.55
0.12 0.82
0.84 0.71
0.13 0.54
0.57 0.07
0.04 0.38
0.44 0.08
0.21 0.7
0.78 0.53
0.92 0.21
0.23 0.78
0.27 0.59
0.72 0.37
0.73 0.03
0.09 0.3
0.71 0.54
0.57 0.97
0.74 0.82
0.31 0.51
