"gam" "nu"
0.11 0.17
0.49 0.81
0.89 0.78
0.51 0.7
0.55 0.72
0.69 0.09
0.47 0.92
0.47 0.34
0.84 0.07
0.27 0.82
0.73 0.63
0.42 0.57
0.72 0.1
0.68 0.08
0.23 0.21
0.25 0.03
0.11 0.68
0.59 0.53
0.78 0.82
0.92 0.69
0.32 0.74
0.29 0.86
0.53 0.83
0.32 0.79
0.44 0.56
0.12 0.92
0.25 0.07
0.02 0.96
0.56 0.58
0.07 0.56
0.4 0.9
0.12 0.93
0.85 0.16
0.81 0.12
0.39 0.28
0.52 0.98
0.26 0.85
0.94 0.81
0.08 0.74
0.76 0.1
0.1 0.89
0.37 0.74
0.93 0.71
0.72 0.34
0.02 0.82
0.32 0.36
0.5 0.74
0.71 0.12
0.36 0.02
0.82 0.83
0.08 0.75
0.2 0.24
0.55 0.42
0.25 0.67
0.7 0.69
0.05 0.96
0.79 0.91
0.3 0.94
0.22 0.99
0.1 0.06
0.61 0.49
0.95 0.93
0.5 0.17
0.3 0.04
0.77 0.38
0.1 0.32
0.79 0.33
0.36 0.46
0.33 0.29
0.42 0.62
0.48 0.55
0.34 0.08
0.78 0.9
0.41 0.37
0.85 0.68
0.08 0.03
0.48 0.91
0.08 0.32
0.65 0.26
0.67 0.37
0.98 0.4
0.73 0.8
0.13 0.04
0.85 0.13
0.88 0.21
0.06 0.26
0.18 0.88
0.09 0.98
0.04 0.14
0.98 0.96
0.88 0.92
0.38 0.57
0.95 0.27
0.98 0.21
0.53 0.1
0.96 0.89
0.21 0.71
0.55 0.45
0.19 0.6
0.9 0.11
0.8 0.62
0.65 0.68
0.3 0.78
0.61 0.9
0.7 0.38
0.35 0.38
0.23 0.38
0.3 0.16
0.37 0.78
0.86 0.61
0.14 0.5
0.43 0.64
0.35 0.26
0.62 0.22
0.63 0.27
0.27 0.9
0.63 0.37
0.92 0.81
0.61 0.45
0.37 0.79
0.6 0.32
0.5 0.76
0.83 0.44
0.1 0.34
0.53 0.97
0.86 0.4
0.15 0.35
0.51 0.02
0.75 0.14
0.47 0.52
0.11 0.05
0.46 0.7
0.59 0.04
0.03 0.84
0.83 0.49
0.18 0.9
0.4 0.08
0.67 0.74
0.25 0.44
0.62 0.47
0.41 0.2
0.22 0.28
0.49 0.72
0.55 0.15
0.19 0.79
0.47 0.63
0.7 0.61
0.21 0.43
0.46 0.6
0.1 0.96
0.31 0.89
0.43 0.96
0.45 0.96
0.7 0.22
0.53 0.75
0.88 0.2
0.61 0.07
0.28 0.39
0.99 0.46
0.69 0.99
0.52 0.63
0.27 0.5
0.06 0.25
0.04 0.09
0.17 0.17
0.53 0.72
0.27 0.47
0.48 0.38
0.97 0.7
0.07 0.24
0.23 0.35
0.49 0.16
0.71 0.13
0.84 0.09
0.33 0.07
0.22 0.12
0.79 0.23
0.68 0.18
0.87 0.18
0.54 0.92
0.63 0.18
0.28 0.32
0.25 0.14
0.97 0.13
0.88 0.52
0.58 0.4
0.6 0.02
0.68 0.98
0.18 0.35
0.15 0.27
0.45 0.05
0.91 0.69
0.41 0.1
0.53 0.22
0.37 0.6
0.45 0.68
0.87 0.96
0.37 0.88
0.11 0.77
0.48 0.93
0.42 0.2
0.78 0.96
0.03 0.16
0.17 0.88
0.13 0.21
0.79 0.2
0.71 0.62
0.26 0.32
0.2 0.8
0.76 0.37
0.41 0.13
0.19 0.67
0.25 0.62
0.97 0.59
0.12 0.42
0.51 0.14
0.86 0.56
0.47 0.06
0.98 0.71
0.62 0.73
0.23 0.41
0.89 0.36
0.13 0.34
0.08 0.28
0.8 0.31
0.81 0.09
0.41 0.25
0.36 0.61
0.47 0.74
0.28 0.84
0.4 0.85
0.36 0.44
0.46 0.21
0.13 0.74
0.6 0.94
0.27 0.74
0.94 0.41
0.15 0.48
0.58 0.06
0.03 0.05
0.51 0.11
0.9 0.3
0.93 0.08
0.19 0.85
0.2 0.47
0.2 0.17
0.79 0.31
0.88 0.57
0.59 0.85
0.3 0.74
0.49 0.8
0.98 0.38
0.73 0.92
0.74 0.99
0.66 0.16
0.89 0.17
0.61 0.98
0.8 0.78
0.24 0.04
0.71 0.46
0.65 0.63
0.45 0.17
0.89 0.56
0.26 0.44
0.98 0.06
0.19 0.58
0.24 0.97
0.08 0.01
0.79 0.75
0.66 0.58
0.11 0.82
0.96 0.41
0.96 0.99
0.51 0.62
0.35 0.47
0.79 0.63
0.91 0.87
0.1 0.87
0.84 0.08
0.95 0.26
0.06 0.23
0.54 0.3
0.85 0.5
0.12 0.78
0.4 0.6
0.3 0.2
0.51 0.5
0.98 0.07
0.94 0.01
0.84 0.87
0.1 0.67
0.57 0.75
0.98 0.76
0.41 0.82
0.46 0.64
0.08 0.21
0.33 0.22
0.59 0.98
0.62 0.8
0.3 0.47
0.55 0.02
0.83 0.13
0.78 0.18
0.76 0.46
0.68 0.78
0.96 0.52
0.03 0.66
0.06 0.13
0.73 0.25
0.16 0.1
0.83 0.39
0.85 0.06
0.92 0.41
0.18 0.52
0.9 0.22
0.26 0.14
0.17 0.98
0.62 0.85
0.74 0.74
0.98 0.25
0.06 0.67
0.93 0.38
0.56 0.28
0.56 0.8
0.62 0.19
0.76 0.11
0.72 0.84
0.82 0.18
0.39 0.27
0.17 0.12
0.97 0.14
0.45 0.15
0.03 0.61
0.8 0.45
0.41 0.73
0.23 0.54
0.14 0.52
0.29 0.69
0.62 0.99
0.71 0.95
0.59 0.48
0.39 0.46
0.39 0.07
0.31 0.7
0.22 0.21
0.31 0.91
0.92 0.04
0.08 0.77
0.82 0.67
0.88 0.69
0.66 0.79
0.52 0.99
0.13 0.99
0.27 0.98
0.44 0.18
0.23 0.26
0.64 0.99
0.41 0.85
0.01 0.92
0.53 0.47
0.33 0.68
0.73 0.82
0.28 0.26
0.75 0.6
0.8 0.91
0.63 0.31
0.4 0.15
0.64 0.8
0.7 0.59
0.1 0.33
0.32 0.76
0.76 0.36
0.53 0.25
0.73 0.4
0.32 0.8
0.54 0.03
0.01 0.41
0.32 0.17
0.17 0.31
0.96 0.54
0.44 0.31
0.34 0.13
0.3 0.92
0.37 0.18
0.31 0.49
0.69 0.91
0.1 0.28
0.62 0.37
0.85 0.78
0.04 0.46
0.67 0.08
0.1 0.57
0.58 0.07
0.08 0.66
0.37 0.26
0.94 0.1
0.07 0.09
0.45 0.94
0.1 0.75
0.03 0.76
0.19 0.52
0.75 0.3
0.09 0.4
0.5 0.68
0.4 0.98
0.51 0.35
0.22 0.16
0.15 0.3
0.13 0.1
0.18 0.48
0.62 0.45
0.64 0.49
0.51 0.67
0.45 0.42
0.1 0.77
0.59 0.73
0.66 0.05
0.75 0.64
0.71 0.39
0.31 0.4
0.52 0.41
0.17 0.35
0.82 0.09
0.83 0.23
0.39 0.16
0.47 0.41
0.61 0.43
0.28 0.35
0.09 0.04
0.58 0.21
0.68 0.06
0.88 0.45
0.15 0.72
0.58 0.81
0.3 0.32
0.56 0.57
0.54 0.65
0.66 0.19
0.82 0.02
0.33 0.77
0.33 0.94
0.44 0.27
0.76 0.68
0.28 0.25
0.72 0.48
0.74 0.67
0.19 0.12
0.58 0.29
0.01 0.25
0.66 0.97
0.56 0.21
0.45 0.72
0.72 0.39
0.62 0.23
0.83 0.53
0.06 0.87
0.35 0.82
0.28 0.45
0.52 0.52
0.81 0.96
0.52 0.69
0.43 0.59
0.65 0.51
0.81 0.07
0.02 0.69
0.39 0.82
0.69 0.73
0.26 0.64
0.6 0.49
0.02 0.92
0.42 0.19
0.81 0.68
0.24 0.2
0.48 0.09
0.15 0.53
0.25 0.23
0.3 0.31
0.7 0.51
0.97 0.63
0.85 0.76
0.49 0.93
0.73 0.12
0.29 0.8
0.2 0.36
0.59 0.57
0.54 0.88
0.06 0.83
0.02 0.19
0.19 0.53
0.8 0.05
0.09 0.47
0.66 0.55
