"gam" "nu"
0.08 0.31
0.73 0.09
0.06 0.51
0.8 0.15
0.19 0.1
0.23 0.18
0.07 0.62
0.05 0.77
0.31 0.54
0.94 0.99
0.74 0.01
0.41 0.55
0.91 0.68
0.63 0.23
0.38 0.42
0.91 0.85
0.39 0.49
0.39 0.21
0.93 0.89
0.85 0.08
0.34 0.76
0.43 0.95
0.5 0.5
0.31 0.65
0.62 0.08
0.41 0.6
0.49 0.48
0.33 0.7
0.65 0.98
0.89 0.98
0.96 0.92
0.93 0.48
0.69 0.79
0.68 0.2
0.94 0.93
0.33 0.53
0.67 0.91
0.64 0.3
0.94 0.09
0.64 0.51
0.74 0.62
0.48 0.37
0.21 0.28
0.18 0.08
0.57 0.32
0.27 0.25
0.29 0.45
0.37 0.29
0.06 0.75
0.86 0.79
0.76 0.3
0.18 0.18
0.01 0.46
0.89 0.44
0.9 0.1
0.59 0.5
0.31 0.78
0.14 0.33
0.61 0.36
0.97 0.53
0.14 0.96
0.32 0.46
0.77 0.13
0.23 0.89
0.47 0.72
0.77 0.29
0.64 0.1
0.54 0.43
0.58 0.64
0.46 0.35
0.26 0.27
0.65 0.88
0.04 0.93
0.05 0.58
0.08 0.11
0.83 0.71
0.5 0.75
0.35 0.18
0.42 0.75
0.85 0.62
0.76 0.91
0.44 0.74
0.94 0.78
0.4 0.53
0.97 0.49
0.88 0.95
0.47 0.26
0.1 0.86
0.76 0.59
0.4 0.4
0.21 0.54
0.54 0.64
0.06 0.74
0.51 0.53
0.92 0.71
0.86 0.28
0.4 0.03
0.61 0.29
0.04 0.26
0.2 0.76
0.38 0.15
0.48 0.4
0.07 0.2
0.38 0.35
0.81 0.03
0.07 0.5
0.31 0.16
0.89 0.61
0.54 0.63
0.32 0.63
0.21 0.48
0.6 0.67
0.5 0.35
0.89 0.67
0.28 0.8
0.17 0.38
0.49 0.63
0.86 0.04
0.57 0.09
0.09 0.17
0.47 0.64
0.63 0.92
0.6 0.72
0.99 0.7
0.78 0.63
0.44 0.14
0.12 0.98
0.94 0.73
0.12 0.15
0.55 0.52
0.53 0.82
0.87 0.33
0.1 0.02
0.3 0.66
0.84 0.59
0.04 0.62
0.73 0.02
0.39 0.43
0.09 0.8
0.87 0.02
0.89 0.65
0.95 0.01
0.32 0.89
0.97 0.99
0.26 0.03
0.87 0.4
0.68 0.4
0.82 0.24
0.52 0.83
0.35 0.33
0.61 0.08
0.47 0.78
0.6 0.42
0.95 0.08
0.74 0.49
0.84 0.39
0.15 0.13
0.77 0.49
0.3 0.11
0.98 0.32
0.44 0.54
0.31 0.33
0.16 0.47
0.04 0.27
0.31 0.1
0.7 0.43
0.85 0.18
0.17 0.05
0.54 0.85
0.75 0.45
0.76 0.42
0.21 0.09
0.58 0.28
0.6 0.85
0.44 0.36
0.51 0.23
0.79 0.05
0.03 0.93
0.47 0.5
0.09 0.94
0.23 0.52
0.93 0.45
0.68 0.57
0.74 0.39
0.32 0.69
0.94 0.68
0.03 0.65
0.05 0.65
0.93 0.61
0.31 0.48
0.81 0.37
0.6 0.4
0.16 0.22
0.81 0.7
0.38 0.34
0.23 0.37
0.79 0.87
0.43 0.23
0.77 0.99
0.59 0.36
0.56 0.43
0.8 0.65
0.79 0.44
0.71 0.4
0.56 0.94
0.67 0.45
0.07 0.16
0.55 0.59
0.51 0.06
0.1 0.03
0.56 0.9
0.89 0.72
0.14 0.57
0.66 0.7
0.63 0.93
0.7 0.34
0.76 0.03
0.65 0.99
0.93 0.54
0.4 0.8
0.96 0.63
0.06 0.8
0.79 0.98
0.46 0.56
0.09 0.49
0.47 0.18
0.81 0.49
0.04 0.56
0.45 0.81
0.18 0.74
0.89 0.76
0.88 0.47
0.51 0.32
0.35 0.58
0.2 0.68
0.61 0.4
0.25 0.91
0.85 0.8
0.55 0.34
0.1 0.17
0.09 0.84
0.68 0.02
0.9 0.8
0.91 0.19
0.94 0.79
0.34 0.12
0.13 0.71
0.31 0.11
0.62 0.09
0.32 0.85
0.38 0.88
0.68 0.79
0.65 0.57
0.07 0.57
0.35 0.92
0.28 0.18
0.96 0.37
0.56 0.79
0.29 0.06
0.01 0.11
0.2 0.61
0.96 0.83
0.78 0.52
0.88 0.42
0.22 0.44
0.18 0.91
0.14 0.3
0.45 0.56
0.97 0.94
0.85 0.69
0.36 0.03
0.85 0.39
0.36 0.31
0.45 0.95
0.17 0.1
0.97 0.83
0.59 0.15
0.38 0.02
0.15 0.29
0.64 0.13
0.69 0.47
0.77 0.67
0.48 0.02
0.4 0.48
0.52 0.38
0.39 0.3
0.76 0.73
0.77 0.59
0.43 0.85
0.08 0.71
0.07 0.33
0.06 0.82
0.39 0.32
0.05 0.09
0.79 0.7
0.25 0.18
0.36 0.84
0.35 0.55
0.68 0.53
0.7 0.66
0.73 0.3
0.13 0.59
0.89 0.51
0.44 0.03
0.06 0.2
0.6 0.2
0.26 0.17
0.97 0.01
0.43 0.1
0.28 0.7
0.44 0.92
0.83 0.68
0.84 0.12
0.55 0.11
0.93 0.12
0.64 0.95
0.39 0.76
0.04 0.72
0.33 0.18
0.38 0.87
0.44 0.51
0.51 0.73
0.87 0.89
0.58 0.37
0.57 0.87
0.68 0.16
0.96 0.51
0.91 0.88
0.58 0.3
0.82 0.76
0.56 0.89
0.61 0.95
0.93 0.49
0.23 0.85
0.24 0.78
0.72 0.52
0.01 0.96
0.49 0.09
0.98 0.72
0.98 0.85
0.37 0.76
0.61 0.97
0.15 0.1
0.86 0.48
0.75 0.06
0.21 0.46
0.53 0.56
0.31 0.84
0.3 0.44
0.82 0.81
0.74 0.76
0.97 0.28
0.9 0.17
0.68 0.61
0.55 0.98
0.56 0.95
0.53 0.68
0.51 0.19
0.51 0.83
0.66 0.87
0.67 0.67
0.83 0.9
0.72 0.66
0.36 0.21
0.55 0.28
0.98 0.95
0.91 0.9
0.11 0.46
0.85 0.97
0.87 0.16
0.24 0.98
0.05 0.13
0.87 0.99
0.04 0.52
0.28 0.85
0.84 0.45
0.36 0.81
0.2 0.33
0.82 0.14
0.53 0.38
0.08 0.86
0.51 0.6
0.93 0.39
0.59 0.4
0.48 0.87
0.14 0.73
0.8 0.6
0.83 0.7
0.83 0.07
0.57 0.18
0.69 0.82
0.62 0.9
0.28 0.62
0.57 0.11
0.8 0.36
0.75 0.2
0.52 0.36
0.61 0.61
0.3 0.34
0.62 0.14
0.91 0.41
0.06 0.05
0.36 0.63
0.96 0.8
0.05 0.27
0.9 0.18
0.11 0.98
0.67 0.77
0.6 0.95
0.4 0.43
0.69 0.2
0.65 0.6
0.42 0.05
0.66 0.25
0.9 0.43
0.42 0.52
0.58 0.33
0.46 0.31
0.52 0.39
0.68 0.58
0.02 0.37
0.18 0.32
0.58 0.83
0.59 0.01
0.17 0.73
0.65 0.83
0.25 0.89
0.3 0.89
0.75 0.74
0.18 0.83
0.67 0.65
0.66 0.65
0.72 0.47
0.54 0.49
0.44 0.3
0.17 0.5
0.99 0.05
0.72 0.87
0.4 0.7
0.92 0.73
0.46 0.24
0.11 0.69
0.9 0.47
0.45 0.69
0.43 0.76
0.17 0.4
0.94 0.77
0.04 0.89
0.62 0.81
0.87 0.62
0.11 0.75
0.77 0.73
0.67 0.19
0.52 0.66
0.52 0.26
0.69 0.45
0.03 0.2
0.53 0.78
0.22 0.69
0.08 0.27
0.89 0.46
0.61 0.35
0.07 0.93
0.93 0.25
0.99 0.31
0.75 0.91
0.3 0.79
0.65 0.65
0.36 0.35
0.91 0.42
0.37 0.46
0.55 0.84
0.49 0.56
0.42 0.7
0.74 0.48
0.78 0.14
0.65 0.55
0.73 0.32
0.13 0.62
0.41 0.56
0.99 0.96
0.83 0.02
0.51 0.79
0.14 0.11
0.25 0.63
0.54 0.96
0.95 0.14
0.8 0.34
0.54 0.18
0.25 0.81
0.04 0.23
0.6 0.9
0.09 0.1
0.44 0.53
0.9 0.68
0.48 0.73
0.47 0.01
0.42 0.44
0.95 0.02
0.03 0.13
0.52 0.22
0.06 0.73
0.2 0.57
0.93 0.02
0.65 0.69
0.48 0.48
0.42 0.9
0.11 0.79
0.22 0.5
0.6 0.47
0.48 0.44
0.42 0.12
0.7 0.08
0.64 0.75
0.21 0.51
0.25 0.59
0.2 0.1
0.24 0.36
0.23 0.6
0.78 0.85
0.35 0.78
0.69 0.44
0.37 0.9
0.48 0.25
0.53 0.77
0.94 0.52
0.57 0.31
0.36 0.96
0.97 0.48
0.59 0.88
0.26 0.15
0.84 0.02
0.15 0.42
0.14 0.87
0.19 0.18
0.78 0.28
0.12 0.23
0.03 0.67
0.37 0.3
0.7 0.17
0.98 0.75
0.13 0.16
0.46 0.59
0.48 0.67
0.06 0.95
0.18 0.59
0.28 0.65
0.89 0.73
0.92 0.46
0.71 0.97
0.36 0.34
0.8 0.28
0.38 0.59
0.01 0.31
0.85 0.52
0.82 0.34
0.24 0.82
0.43 0.69
0.86 0.23
0.79 0.78
0.55 0.13
0.16 0.32
0.34 0.48
0.41 0.84
0.23 0.91
0.81 0.28
0.67 0.61
0.41 0.44
0.58 0.14
0.76 0.19
0.36 0.25
0.21 0.39
0.73 0.71
0.31 0.77
0.64 0.16
0.45 0.64
0.75 0.88
0.01 0.99
0.18 0.2
0.92 0.14
0.68 0.85
0.8 0.29
0.61 0.66
0.75 0.38
0.01 0.45
0.84 0.13
0.86 0.09
0.43 0.68
0.21 0.73
0.17 0.18
0.16 0.54
0.84 0.22
0.96 0.65
0.43 0.11
0.59 0.33
0.62 0.49
0.87 0.61
0.14 0.02
0.39 0.75
0.81 0.54
0.71 0.08
0.61 0.04
0.65 0.25
0.28 0.07
0.51 0.72
0.77 0.42
0.77 0.33
0.53 0.99
0.95 0.35
0.27 0.57
0.02 0.63
0.14 0.49
0.4 0.58
0.3 0.43
0.19 0.8
0.02 0.5
0.76 0.49
0.59 0.84
0.32 0.71
0.25 0.93
0.29 0.98
0.68 0.29
0.68 0.33
0.01 0.08
0.28 0.89
0.34 0.95
0.31 0.52
0.01 0.3
0.12 0.63
0.27 0.13
0.22 0.57
0.87 0.92
0.27 0.73
0.55 0.49
0.77 0.84
0.12 0.69
0.33 0.62
0.22 0.49
0.22 0.25
0.93 0.24
0.81 0.17
0.62 0.35
0.35 0.4
0.45 0.03
0.11 0.66
0.42 0.71
0.93 0.67
0.72 0.89
0.83 0.33
0.57 0.68
0.43 0.29
0.33 0.72
0.77 0.04
0.31 0.72
0.85 0.05
0.99 0.66
0.22 0.92
0.8 0.87
0.44 0.43
0.24 0.76
0.83 0.26
0.73 0.78
0.79 0.85
0.21 0.58
0.66 0.9
0.53 0.02
0.75 0.4
0.98 0.83
0.14 0.63
0.16 0.15
0.48 0.19
0.05 0.32
0.21 0.66
0.5 0.14
0.89 0.57
0.21 0.56
0.73 0.58
0.93 0.56
0.75 0.61
0.12 0.8
0.34 0.47
0.27 0.49
0.95 0.32
0.61 0.64
0.08 0.55
0.02 0.16
0.19 0.01
0.99 0.69
0.51 0.07
0.04 0.34
0.27 0.62
0.64 0.22
0.13 0.33
0.41 0.04
0.09 0.97
0.64 0.24
0.89 0.1
0.34 0.97
0.34 0.81
0.76 0.28
0.32 0.5
0.19 0.39
0.58 0.36
0.83 0.54
0.13 0.51
0.66 0.78
0.78 0.22
0.49 0.89
0.26 0.83
0.56 0.72
0.31 0.59
0.72 0.8
0.37 0.14
0.41 0.94
0.24 0.54
0.47 0.77
0.06 0.62
0.58 0.74
0.1 0.3
0.7 0.13
0.18 0.49
0.72 0.07
